	State	State_Code	Year	Year_Code	Multiple_Cause_of_death	MCD_Code	Deaths	Population	Crude_Rate	PCT_of_Total_Deaths
	"Alabama"	"01"	"2004"	"2004"	"Opium"	"T40.0"	Suppressed	3417067	Suppressed	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Heroin"	"T40.1"	Suppressed	3417067	Suppressed	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Other opioids"	"T40.2"	37	3417067	1.1	0.0%
	"Alabama"	"01"	"2004"	"2004"	"Methadone"	"T40.3"	50	3417067	1.5	0.0%
	"Alabama"	"01"	"2004"	"2004"	"Other synthetic narcotics"	"T40.4"	13	3417067	Unreliable	0.0%
	"Alabama"	"01"	"2005"	"2005"	"Opium"	"T40.0"	Suppressed	3452576	Suppressed	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"Heroin"	"T40.1"	Suppressed	3452576	Suppressed	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"Other opioids"	"T40.2"	24	3452576	0.7	0.0%
	"Alabama"	"01"	"2005"	"2005"	"Methadone"	"T40.3"	49	3452576	1.4	0.0%
	"Alabama"	"01"	"2005"	"2005"	"Other synthetic narcotics"	"T40.4"	12	3452576	Unreliable	0.0%
	"Alabama"	"01"	"2006"	"2006"	"Opium"	"T40.0"	Suppressed	3502183	Suppressed	Suppressed
	"Alabama"	"01"	"2006"	"2006"	"Heroin"	"T40.1"	Suppressed	3502183	Suppressed	Suppressed
	"Alabama"	"01"	"2006"	"2006"	"Other opioids"	"T40.2"	52	3502183	1.5	0.0%
	"Alabama"	"01"	"2006"	"2006"	"Methadone"	"T40.3"	66	3502183	1.9	0.0%
	"Alabama"	"01"	"2006"	"2006"	"Other synthetic narcotics"	"T40.4"	25	3502183	0.7	0.0%
	"Alabama"	"01"	"2007"	"2007"	"Opium"	"T40.0"	Suppressed	3540544	Suppressed	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"Heroin"	"T40.1"	Suppressed	3540544	Suppressed	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"Other opioids"	"T40.2"	66	3540544	1.9	0.0%
	"Alabama"	"01"	"2007"	"2007"	"Methadone"	"T40.3"	88	3540544	2.5	0.0%
	"Alabama"	"01"	"2007"	"2007"	"Other synthetic narcotics"	"T40.4"	20	3540544	0.6	0.0%
	"Alabama"	"01"	"2008"	"2008"	"Opium"	"T40.0"	Suppressed	3583279	Suppressed	Suppressed
	"Alabama"	"01"	"2008"	"2008"	"Heroin"	"T40.1"	Suppressed	3583279	Suppressed	Suppressed
	"Alabama"	"01"	"2008"	"2008"	"Other opioids"	"T40.2"	78	3583279	2.2	0.0%
	"Alabama"	"01"	"2008"	"2008"	"Methadone"	"T40.3"	106	3583279	3.0	0.0%
	"Alabama"	"01"	"2008"	"2008"	"Other synthetic narcotics"	"T40.4"	18	3583279	Unreliable	0.0%
	"Alabama"	"01"	"2009"	"2009"	"Opium"	"T40.0"	Suppressed	3623746	Suppressed	Suppressed
	"Alabama"	"01"	"2009"	"2009"	"Heroin"	"T40.1"	12	3623746	Unreliable	0.0%
	"Alabama"	"01"	"2009"	"2009"	"Other opioids"	"T40.2"	94	3623746	2.6	0.0%
	"Alabama"	"01"	"2009"	"2009"	"Methadone"	"T40.3"	89	3623746	2.5	0.0%
	"Alabama"	"01"	"2009"	"2009"	"Other synthetic narcotics"	"T40.4"	30	3623746	0.8	0.0%
	"Alabama"	"01"	"2010"	"2010"	"Opium"	"T40.0"	Suppressed	3647277	Suppressed	Suppressed
	"Alabama"	"01"	"2010"	"2010"	"Heroin"	"T40.1"	Suppressed	3647277	Suppressed	Suppressed
	"Alabama"	"01"	"2010"	"2010"	"Other opioids"	"T40.2"	82	3647277	2.2	0.0%
	"Alabama"	"01"	"2010"	"2010"	"Methadone"	"T40.3"	78	3647277	2.1	0.0%
	"Alabama"	"01"	"2010"	"2010"	"Other synthetic narcotics"	"T40.4"	37	3647277	1.0	0.0%
	"Alabama"	"01"	"2011"	"2011"	"Opium"	"T40.0"	Suppressed	3675597	Suppressed	Suppressed
	"Alabama"	"01"	"2011"	"2011"	"Heroin"	"T40.1"	14	3675597	Unreliable	0.0%
	"Alabama"	"01"	"2011"	"2011"	"Other opioids"	"T40.2"	94	3675597	2.6	0.0%
	"Alabama"	"01"	"2011"	"2011"	"Methadone"	"T40.3"	64	3675597	1.7	0.0%
	"Alabama"	"01"	"2011"	"2011"	"Other synthetic narcotics"	"T40.4"	20	3675597	0.5	0.0%
	"Alabama"	"01"	"2012"	"2012"	"Opium"	"T40.0"	Suppressed	3697617	Suppressed	Suppressed
	"Alabama"	"01"	"2012"	"2012"	"Heroin"	"T40.1"	35	3697617	0.9	0.0%
	"Alabama"	"01"	"2012"	"2012"	"Other opioids"	"T40.2"	70	3697617	1.9	0.0%
	"Alabama"	"01"	"2012"	"2012"	"Methadone"	"T40.3"	56	3697617	1.5	0.0%
	"Alabama"	"01"	"2012"	"2012"	"Other synthetic narcotics"	"T40.4"	17	3697617	Unreliable	0.0%
	"Alabama"	"01"	"2013"	"2013"	"Opium"	"T40.0"	Suppressed	3722241	Suppressed	Suppressed
	"Alabama"	"01"	"2013"	"2013"	"Heroin"	"T40.1"	42	3722241	1.1	0.0%
	"Alabama"	"01"	"2013"	"2013"	"Other opioids"	"T40.2"	71	3722241	1.9	0.0%
	"Alabama"	"01"	"2013"	"2013"	"Methadone"	"T40.3"	43	3722241	1.2	0.0%
	"Alabama"	"01"	"2013"	"2013"	"Other synthetic narcotics"	"T40.4"	31	3722241	0.8	0.0%
	"Alabama"	"01"	"2014"	"2014"	"Opium"	"T40.0"	Suppressed	3741806	Suppressed	Suppressed
	"Alabama"	"01"	"2014"	"2014"	"Heroin"	"T40.1"	125	3741806	3.3	0.0%
	"Alabama"	"01"	"2014"	"2014"	"Other opioids"	"T40.2"	95	3741806	2.5	0.0%
	"Alabama"	"01"	"2014"	"2014"	"Methadone"	"T40.3"	45	3741806	1.2	0.0%
	"Alabama"	"01"	"2014"	"2014"	"Other synthetic narcotics"	"T40.4"	50	3741806	1.3	0.0%
	"Alabama"	"01"	"2015"	"2015"	"Opium"	"T40.0"	Suppressed	3755483	Suppressed	Suppressed
	"Alabama"	"01"	"2015"	"2015"	"Heroin"	"T40.1"	111	3755483	3.0	0.0%
	"Alabama"	"01"	"2015"	"2015"	"Other opioids"	"T40.2"	90	3755483	2.4	0.0%
	"Alabama"	"01"	"2015"	"2015"	"Methadone"	"T40.3"	41	3755483	1.1	0.0%
	"Alabama"	"01"	"2015"	"2015"	"Other synthetic narcotics"	"T40.4"	73	3755483	1.9	0.0%
	"Alaska"	"02"	"2000"	"2000"	"Opium"	"T40.0"	Suppressed	436215	Suppressed	Suppressed
	"Alaska"	"02"	"2000"	"2000"	"Heroin"	"T40.1"	Suppressed	436215	Suppressed	Suppressed
	"Alaska"	"02"	"2000"	"2000"	"Other opioids"	"T40.2"	21	436215	4.8	0.0%
	"Alaska"	"02"	"2000"	"2000"	"Methadone"	"T40.3"	Suppressed	436215	Suppressed	Suppressed
	"Alaska"	"02"	"2000"	"2000"	"Other synthetic narcotics"	"T40.4"	Suppressed	436215	Suppressed	Suppressed
	"Alaska"	"02"	"2001"	"2001"	"Opium"	"T40.0"	Suppressed	444943	Suppressed	Suppressed
	"Alaska"	"02"	"2001"	"2001"	"Heroin"	"T40.1"	Suppressed	444943	Suppressed	Suppressed
	"Alaska"	"02"	"2001"	"2001"	"Other opioids"	"T40.2"	10	444943	Unreliable	0.0%
	"Alaska"	"02"	"2001"	"2001"	"Methadone"	"T40.3"	Suppressed	444943	Suppressed	Suppressed
	"Alaska"	"02"	"2001"	"2001"	"Other synthetic narcotics"	"T40.4"	Suppressed	444943	Suppressed	Suppressed
	"Alaska"	"02"	"2002"	"2002"	"Opium"	"T40.0"	Suppressed	453855	Suppressed	Suppressed
	"Alaska"	"02"	"2002"	"2002"	"Heroin"	"T40.1"	Suppressed	453855	Suppressed	Suppressed
	"Alaska"	"02"	"2002"	"2002"	"Other opioids"	"T40.2"	Suppressed	453855	Suppressed	Suppressed
	"Alaska"	"02"	"2002"	"2002"	"Methadone"	"T40.3"	Suppressed	453855	Suppressed	Suppressed
	"Alaska"	"02"	"2002"	"2002"	"Other synthetic narcotics"	"T40.4"	Suppressed	453855	Suppressed	Suppressed
	"Alaska"	"02"	"2003"	"2003"	"Opium"	"T40.0"	Suppressed	461571	Suppressed	Suppressed
	"Alaska"	"02"	"2003"	"2003"	"Heroin"	"T40.1"	Suppressed	461571	Suppressed	Suppressed
	"Alaska"	"02"	"2003"	"2003"	"Other opioids"	"T40.2"	10	461571	Unreliable	0.0%
	"Alaska"	"02"	"2003"	"2003"	"Methadone"	"T40.3"	Suppressed	461571	Suppressed	Suppressed
	"Alaska"	"02"	"2003"	"2003"	"Other synthetic narcotics"	"T40.4"	Suppressed	461571	Suppressed	Suppressed
	"Alaska"	"02"	"2004"	"2004"	"Opium"	"T40.0"	Suppressed	472951	Suppressed	Suppressed
	"Alaska"	"02"	"2004"	"2004"	"Heroin"	"T40.1"	Suppressed	472951	Suppressed	Suppressed
	"Alaska"	"02"	"2004"	"2004"	"Other opioids"	"T40.2"	Suppressed	472951	Suppressed	Suppressed
	"Alaska"	"02"	"2004"	"2004"	"Methadone"	"T40.3"	Suppressed	472951	Suppressed	Suppressed
	"Alaska"	"02"	"2004"	"2004"	"Other synthetic narcotics"	"T40.4"	Suppressed	472951	Suppressed	Suppressed
	"Alaska"	"02"	"2005"	"2005"	"Opium"	"T40.0"	Suppressed	481642	Suppressed	Suppressed
	"Alaska"	"02"	"2005"	"2005"	"Heroin"	"T40.1"	Suppressed	481642	Suppressed	Suppressed
	"Alaska"	"02"	"2005"	"2005"	"Other opioids"	"T40.2"	Suppressed	481642	Suppressed	Suppressed
	"Alaska"	"02"	"2005"	"2005"	"Methadone"	"T40.3"	Suppressed	481642	Suppressed	Suppressed
	"Alaska"	"02"	"2005"	"2005"	"Other synthetic narcotics"	"T40.4"	Suppressed	481642	Suppressed	Suppressed
	"Alaska"	"02"	"2006"	"2006"	"Opium"	"T40.0"	Suppressed	489722	Suppressed	Suppressed
	"Alaska"	"02"	"2006"	"2006"	"Heroin"	"T40.1"	Suppressed	489722	Suppressed	Suppressed
	"Alaska"	"02"	"2006"	"2006"	"Other opioids"	"T40.2"	14	489722	Unreliable	0.0%
	"Alaska"	"02"	"2006"	"2006"	"Methadone"	"T40.3"	11	489722	Unreliable	0.0%
	"Alaska"	"02"	"2006"	"2006"	"Other synthetic narcotics"	"T40.4"	Suppressed	489722	Suppressed	Suppressed
	"Alaska"	"02"	"2007"	"2007"	"Opium"	"T40.0"	Suppressed	495956	Suppressed	Suppressed
	"Alaska"	"02"	"2007"	"2007"	"Heroin"	"T40.1"	Suppressed	495956	Suppressed	Suppressed
	"Alaska"	"02"	"2007"	"2007"	"Other opioids"	"T40.2"	Suppressed	495956	Suppressed	Suppressed
	"Alaska"	"02"	"2007"	"2007"	"Methadone"	"T40.3"	Suppressed	495956	Suppressed	Suppressed
	"Alaska"	"02"	"2007"	"2007"	"Other synthetic narcotics"	"T40.4"	Suppressed	495956	Suppressed	Suppressed
	"Alaska"	"02"	"2008"	"2008"	"Opium"	"T40.0"	Suppressed	504331	Suppressed	Suppressed
	"Alaska"	"02"	"2008"	"2008"	"Heroin"	"T40.1"	Suppressed	504331	Suppressed	Suppressed
	"Alaska"	"02"	"2008"	"2008"	"Other opioids"	"T40.2"	53	504331	10.5	0.0%
	"Alaska"	"02"	"2008"	"2008"	"Methadone"	"T40.3"	29	504331	5.8	0.0%
	"Alaska"	"02"	"2008"	"2008"	"Other synthetic narcotics"	"T40.4"	14	504331	Unreliable	0.0%
	"Alaska"	"02"	"2009"	"2009"	"Opium"	"T40.0"	Suppressed	512544	Suppressed	Suppressed
	"Alaska"	"02"	"2009"	"2009"	"Heroin"	"T40.1"	Suppressed	512544	Suppressed	Suppressed
	"Alaska"	"02"	"2009"	"2009"	"Other opioids"	"T40.2"	63	512544	12.3	0.0%
	"Alaska"	"02"	"2009"	"2009"	"Methadone"	"T40.3"	20	512544	3.9	0.0%
	"Alaska"	"02"	"2009"	"2009"	"Other synthetic narcotics"	"T40.4"	22	512544	4.3	0.0%
	"Alaska"	"02"	"2010"	"2010"	"Opium"	"T40.0"	Suppressed	522853	Suppressed	Suppressed
	"Alaska"	"02"	"2010"	"2010"	"Heroin"	"T40.1"	Suppressed	522853	Suppressed	Suppressed
	"Alaska"	"02"	"2010"	"2010"	"Other opioids"	"T40.2"	44	522853	8.4	0.0%
	"Alaska"	"02"	"2010"	"2010"	"Methadone"	"T40.3"	28	522853	5.4	0.0%
	"Alaska"	"02"	"2010"	"2010"	"Other synthetic narcotics"	"T40.4"	11	522853	Unreliable	0.0%
	"Alaska"	"02"	"2011"	"2011"	"Opium"	"T40.0"	Suppressed	534277	Suppressed	Suppressed
	"Alaska"	"02"	"2011"	"2011"	"Heroin"	"T40.1"	12	534277	Unreliable	0.0%
	"Alaska"	"02"	"2011"	"2011"	"Other opioids"	"T40.2"	39	534277	7.3	0.0%
	"Alaska"	"02"	"2011"	"2011"	"Methadone"	"T40.3"	17	534277	Unreliable	0.0%
	"Alaska"	"02"	"2011"	"2011"	"Other synthetic narcotics"	"T40.4"	Suppressed	534277	Suppressed	Suppressed
	"Alaska"	"02"	"2012"	"2012"	"Opium"	"T40.0"	Suppressed	544349	Suppressed	Suppressed
	"Alaska"	"02"	"2012"	"2012"	"Heroin"	"T40.1"	23	544349	4.2	0.0%
	"Alaska"	"02"	"2012"	"2012"	"Other opioids"	"T40.2"	41	544349	7.5	0.0%
	"Alaska"	"02"	"2012"	"2012"	"Methadone"	"T40.3"	10	544349	Unreliable	0.0%
	"Alaska"	"02"	"2012"	"2012"	"Other synthetic narcotics"	"T40.4"	Suppressed	544349	Suppressed	Suppressed
	"Alaska"	"02"	"2013"	"2013"	"Opium"	"T40.0"	Suppressed	547000	Suppressed	Suppressed
	"Alaska"	"02"	"2013"	"2013"	"Heroin"	"T40.1"	24	547000	4.4	0.0%
	"Alaska"	"02"	"2013"	"2013"	"Other opioids"	"T40.2"	38	547000	6.9	0.0%
	"Alaska"	"02"	"2013"	"2013"	"Methadone"	"T40.3"	Suppressed	547000	Suppressed	Suppressed
	"Alaska"	"02"	"2013"	"2013"	"Other synthetic narcotics"	"T40.4"	12	547000	Unreliable	0.0%
	"Alaska"	"02"	"2014"	"2014"	"Opium"	"T40.0"	Suppressed	550189	Suppressed	Suppressed
	"Alaska"	"02"	"2014"	"2014"	"Heroin"	"T40.1"	25	550189	4.5	0.0%
	"Alaska"	"02"	"2014"	"2014"	"Other opioids"	"T40.2"	43	550189	7.8	0.0%
	"Alaska"	"02"	"2014"	"2014"	"Methadone"	"T40.3"	12	550189	Unreliable	0.0%
	"Alaska"	"02"	"2014"	"2014"	"Other synthetic narcotics"	"T40.4"	14	550189	Unreliable	0.0%
	"Alaska"	"02"	"2015"	"2015"	"Opium"	"T40.0"	Suppressed	552166	Suppressed	Suppressed
	"Alaska"	"02"	"2015"	"2015"	"Heroin"	"T40.1"	39	552166	7.1	0.0%
	"Alaska"	"02"	"2015"	"2015"	"Other opioids"	"T40.2"	53	552166	9.6	0.0%
	"Alaska"	"02"	"2015"	"2015"	"Methadone"	"T40.3"	10	552166	Unreliable	0.0%
	"Alaska"	"02"	"2015"	"2015"	"Other synthetic narcotics"	"T40.4"	13	552166	Unreliable	0.0%
	"Arizona"	"04"	"2000"	"2000"	"Opium"	"T40.0"	Suppressed	3763685	Suppressed	Suppressed
	"Arizona"	"04"	"2000"	"2000"	"Heroin"	"T40.1"	15	3763685	Unreliable	0.0%
	"Arizona"	"04"	"2000"	"2000"	"Other opioids"	"T40.2"	94	3763685	2.5	0.0%
	"Arizona"	"04"	"2000"	"2000"	"Methadone"	"T40.3"	18	3763685	Unreliable	0.0%
	"Arizona"	"04"	"2000"	"2000"	"Other synthetic narcotics"	"T40.4"	17	3763685	Unreliable	0.0%
	"Arizona"	"04"	"2001"	"2001"	"Opium"	"T40.0"	Suppressed	3874462	Suppressed	Suppressed
	"Arizona"	"04"	"2001"	"2001"	"Heroin"	"T40.1"	24	3874462	0.6	0.0%
	"Arizona"	"04"	"2001"	"2001"	"Other opioids"	"T40.2"	84	3874462	2.2	0.0%
	"Arizona"	"04"	"2001"	"2001"	"Methadone"	"T40.3"	28	3874462	0.7	0.0%
	"Arizona"	"04"	"2001"	"2001"	"Other synthetic narcotics"	"T40.4"	20	3874462	0.5	0.0%
	"Arizona"	"04"	"2002"	"2002"	"Opium"	"T40.0"	Suppressed	3968317	Suppressed	Suppressed
	"Arizona"	"04"	"2002"	"2002"	"Heroin"	"T40.1"	26	3968317	0.7	0.0%
	"Arizona"	"04"	"2002"	"2002"	"Other opioids"	"T40.2"	136	3968317	3.4	0.0%
	"Arizona"	"04"	"2002"	"2002"	"Methadone"	"T40.3"	60	3968317	1.5	0.0%
	"Arizona"	"04"	"2002"	"2002"	"Other synthetic narcotics"	"T40.4"	22	3968317	0.6	0.0%
	"Arizona"	"04"	"2003"	"2003"	"Opium"	"T40.0"	Suppressed	4056693	Suppressed	Suppressed
	"Arizona"	"04"	"2003"	"2003"	"Heroin"	"T40.1"	65	4056693	1.6	0.0%
	"Arizona"	"04"	"2003"	"2003"	"Other opioids"	"T40.2"	137	4056693	3.4	0.0%
	"Arizona"	"04"	"2003"	"2003"	"Methadone"	"T40.3"	68	4056693	1.7	0.0%
	"Arizona"	"04"	"2003"	"2003"	"Other synthetic narcotics"	"T40.4"	24	4056693	0.6	0.0%
	"Arizona"	"04"	"2004"	"2004"	"Opium"	"T40.0"	Suppressed	4167950	Suppressed	Suppressed
	"Arizona"	"04"	"2004"	"2004"	"Heroin"	"T40.1"	42	4167950	1.0	0.0%
	"Arizona"	"04"	"2004"	"2004"	"Other opioids"	"T40.2"	146	4167950	3.5	0.0%
	"Arizona"	"04"	"2004"	"2004"	"Methadone"	"T40.3"	68	4167950	1.6	0.0%
	"Arizona"	"04"	"2004"	"2004"	"Other synthetic narcotics"	"T40.4"	29	4167950	0.7	0.0%
	"Arizona"	"04"	"2005"	"2005"	"Opium"	"T40.0"	Suppressed	4309909	Suppressed	Suppressed
	"Arizona"	"04"	"2005"	"2005"	"Heroin"	"T40.1"	32	4309909	0.7	0.0%
	"Arizona"	"04"	"2005"	"2005"	"Other opioids"	"T40.2"	177	4309909	4.1	0.1%
	"Arizona"	"04"	"2005"	"2005"	"Methadone"	"T40.3"	89	4309909	2.1	0.0%
	"Arizona"	"04"	"2005"	"2005"	"Other synthetic narcotics"	"T40.4"	35	4309909	0.8	0.0%
	"Arizona"	"04"	"2006"	"2006"	"Opium"	"T40.0"	Suppressed	4454274	Suppressed	Suppressed
	"Arizona"	"04"	"2006"	"2006"	"Heroin"	"T40.1"	49	4454274	1.1	0.0%
	"Arizona"	"04"	"2006"	"2006"	"Other opioids"	"T40.2"	193	4454274	4.3	0.1%
	"Arizona"	"04"	"2006"	"2006"	"Methadone"	"T40.3"	93	4454274	2.1	0.0%
	"Arizona"	"04"	"2006"	"2006"	"Other synthetic narcotics"	"T40.4"	56	4454274	1.3	0.0%
	"Arizona"	"04"	"2007"	"2007"	"Opium"	"T40.0"	Suppressed	4559786	Suppressed	Suppressed
	"Arizona"	"04"	"2007"	"2007"	"Heroin"	"T40.1"	52	4559786	1.1	0.0%
	"Arizona"	"04"	"2007"	"2007"	"Other opioids"	"T40.2"	233	4559786	5.1	0.1%
	"Arizona"	"04"	"2007"	"2007"	"Methadone"	"T40.3"	85	4559786	1.9	0.0%
	"Arizona"	"04"	"2007"	"2007"	"Other synthetic narcotics"	"T40.4"	38	4559786	0.8	0.0%
	"Arizona"	"04"	"2008"	"2008"	"Opium"	"T40.0"	Suppressed	4651711	Suppressed	Suppressed
	"Arizona"	"04"	"2008"	"2008"	"Heroin"	"T40.1"	63	4651711	1.4	0.0%
	"Arizona"	"04"	"2008"	"2008"	"Other opioids"	"T40.2"	267	4651711	5.7	0.1%
	"Arizona"	"04"	"2008"	"2008"	"Methadone"	"T40.3"	90	4651711	1.9	0.0%
	"Arizona"	"04"	"2008"	"2008"	"Other synthetic narcotics"	"T40.4"	49	4651711	1.1	0.0%
	"Arizona"	"04"	"2009"	"2009"	"Opium"	"T40.0"	Suppressed	4715811	Suppressed	Suppressed
	"Arizona"	"04"	"2009"	"2009"	"Heroin"	"T40.1"	82	4715811	1.7	0.0%
	"Arizona"	"04"	"2009"	"2009"	"Other opioids"	"T40.2"	315	4715811	6.7	0.1%
	"Arizona"	"04"	"2009"	"2009"	"Methadone"	"T40.3"	107	4715811	2.3	0.0%
	"Arizona"	"04"	"2009"	"2009"	"Other synthetic narcotics"	"T40.4"	56	4715811	1.2	0.0%
	"Arizona"	"04"	"2010"	"2010"	"Opium"	"T40.0"	Suppressed	4763003	Suppressed	Suppressed
	"Arizona"	"04"	"2010"	"2010"	"Heroin"	"T40.1"	89	4763003	1.9	0.0%
	"Arizona"	"04"	"2010"	"2010"	"Other opioids"	"T40.2"	338	4763003	7.1	0.1%
	"Arizona"	"04"	"2010"	"2010"	"Methadone"	"T40.3"	106	4763003	2.2	0.0%
	"Arizona"	"04"	"2010"	"2010"	"Other synthetic narcotics"	"T40.4"	71	4763003	1.5	0.0%
	"Arizona"	"04"	"2011"	"2011"	"Opium"	"T40.0"	Suppressed	4857391	Suppressed	Suppressed
	"Arizona"	"04"	"2011"	"2011"	"Heroin"	"T40.1"	118	4857391	2.4	0.0%
	"Arizona"	"04"	"2011"	"2011"	"Other opioids"	"T40.2"	332	4857391	6.8	0.1%
	"Arizona"	"04"	"2011"	"2011"	"Methadone"	"T40.3"	59	4857391	1.2	0.0%
	"Arizona"	"04"	"2011"	"2011"	"Other synthetic narcotics"	"T40.4"	41	4857391	0.8	0.0%
	"Arizona"	"04"	"2012"	"2012"	"Opium"	"T40.0"	Suppressed	4932361	Suppressed	Suppressed
	"Arizona"	"04"	"2012"	"2012"	"Heroin"	"T40.1"	102	4932361	2.1	0.0%
	"Arizona"	"04"	"2012"	"2012"	"Other opioids"	"T40.2"	355	4932361	7.2	0.1%
	"Arizona"	"04"	"2012"	"2012"	"Methadone"	"T40.3"	51	4932361	1.0	0.0%
	"Arizona"	"04"	"2012"	"2012"	"Other synthetic narcotics"	"T40.4"	36	4932361	0.7	0.0%
	"Arizona"	"04"	"2013"	"2013"	"Opium"	"T40.0"	Suppressed	5009810	Suppressed	Suppressed
	"Arizona"	"04"	"2013"	"2013"	"Heroin"	"T40.1"	145	5009810	2.9	0.0%
	"Arizona"	"04"	"2013"	"2013"	"Other opioids"	"T40.2"	262	5009810	5.2	0.1%
	"Arizona"	"04"	"2013"	"2013"	"Methadone"	"T40.3"	65	5009810	1.3	0.0%
	"Arizona"	"04"	"2013"	"2013"	"Other synthetic narcotics"	"T40.4"	51	5009810	1.0	0.0%
	"Arizona"	"04"	"2014"	"2014"	"Opium"	"T40.0"	Suppressed	5109792	Suppressed	Suppressed
	"Arizona"	"04"	"2014"	"2014"	"Heroin"	"T40.1"	197	5109792	3.9	0.1%
	"Arizona"	"04"	"2014"	"2014"	"Other opioids"	"T40.2"	307	5109792	6.0	0.1%
	"Arizona"	"04"	"2014"	"2014"	"Methadone"	"T40.3"	66	5109792	1.3	0.0%
	"Arizona"	"04"	"2014"	"2014"	"Other synthetic narcotics"	"T40.4"	58	5109792	1.1	0.0%
	"Arizona"	"04"	"2015"	"2015"	"Opium"	"T40.0"	Suppressed	5205215	Suppressed	Suppressed
	"Arizona"	"04"	"2015"	"2015"	"Heroin"	"T40.1"	251	5205215	4.8	0.1%
	"Arizona"	"04"	"2015"	"2015"	"Other opioids"	"T40.2"	316	5205215	6.1	0.1%
	"Arizona"	"04"	"2015"	"2015"	"Methadone"	"T40.3"	76	5205215	1.5	0.0%
	"Arizona"	"04"	"2015"	"2015"	"Other synthetic narcotics"	"T40.4"	73	5205215	1.4	0.0%
	"Arkansas"	"05"	"2000"	"2000"	"Opium"	"T40.0"	Suppressed	1993031	Suppressed	Suppressed
	"Arkansas"	"05"	"2000"	"2000"	"Heroin"	"T40.1"	Suppressed	1993031	Suppressed	Suppressed
	"Arkansas"	"05"	"2000"	"2000"	"Other opioids"	"T40.2"	Suppressed	1993031	Suppressed	Suppressed
	"Arkansas"	"05"	"2000"	"2000"	"Methadone"	"T40.3"	Suppressed	1993031	Suppressed	Suppressed
	"Arkansas"	"05"	"2000"	"2000"	"Other synthetic narcotics"	"T40.4"	Suppressed	1993031	Suppressed	Suppressed
	"Arkansas"	"05"	"2001"	"2001"	"Opium"	"T40.0"	Suppressed	2011965	Suppressed	Suppressed
	"Arkansas"	"05"	"2001"	"2001"	"Heroin"	"T40.1"	Suppressed	2011965	Suppressed	Suppressed
	"Arkansas"	"05"	"2001"	"2001"	"Other opioids"	"T40.2"	14	2011965	Unreliable	0.0%
	"Arkansas"	"05"	"2001"	"2001"	"Methadone"	"T40.3"	Suppressed	2011965	Suppressed	Suppressed
	"Arkansas"	"05"	"2001"	"2001"	"Other synthetic narcotics"	"T40.4"	Suppressed	2011965	Suppressed	Suppressed
	"Arkansas"	"05"	"2002"	"2002"	"Opium"	"T40.0"	Suppressed	2027129	Suppressed	Suppressed
